/home/geonu/.venvs/yard-rl/lib/python3.12/site-packages/torch/_subclasses/functional_tensor.py:368: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /__w/pytorch/pytorch/torch/csrc/utils/tensor_numpy.cpp:84.)
  cpu = _conversion_method_template(device=torch.device("cpu"))
[WAITOFF s99000 ep25] wait=20.46 berth=83.5 healthy=0.06 compl=0.992
[WAITOFF s99000 ep50] wait=19.22 berth=85.7 healthy=0.19 compl=0.999
[WAITOFF s99000 ep75] wait=18.07 berth=82.7 healthy=0.19 compl=1.000
[WAITOFF s99000 ep100] wait=15.45 berth=85.3 healthy=0.31 compl=1.000
[WAITOFF s99000 ep125] wait=10.33 berth=80.7 healthy=0.81 compl=1.000
[WAITOFF s99000 ep150] wait=10.53 berth=78.4 healthy=0.75 compl=1.000
[WAITOFF s99000 ep175] wait=10.52 berth=80.4 healthy=0.88 compl=1.000
[WAITOFF s99000 ep200] wait=10.30 berth=83.0 healthy=0.81 compl=1.000
[WAITOFF s99000 ep225] wait=9.88 berth=79.8 healthy=0.88 compl=1.000
[WAITOFF s99000 ep250] wait=9.72 berth=78.8 healthy=1.00 compl=1.000
[WAITOFF s99000 ep275] wait=8.53 berth=88.8 healthy=0.81 compl=1.000
[WAITOFF s99000 ep300] wait=9.15 berth=91.1 healthy=0.94 compl=1.000
[WAITOFF s99000 ep325] wait=8.74 berth=88.1 healthy=0.94 compl=1.000
[WAITOFF s99000 ep350] wait=8.60 berth=91.1 healthy=0.88 compl=1.000
[WAITOFF s99000 ep375] wait=8.78 berth=93.5 healthy=0.88 compl=1.000
[WAITOFF s99000 ep400] wait=8.82 berth=91.5 healthy=0.75 compl=1.000
[WAITOFF s99000 ep425] wait=8.28 berth=89.0 healthy=0.94 compl=1.000
[WAITOFF s99000 ep450] wait=9.35 berth=92.0 healthy=0.94 compl=1.000
[WAITOFF s99000 ep475] wait=9.26 berth=93.9 healthy=0.81 compl=1.000
[WAITOFF s99000 ep500] wait=9.25 berth=94.5 healthy=0.81 compl=1.000
[train WAITOFF s99000] 862s → outputs/reports/yr119_wait_retrain/waitoff_s99000/rl_net.pt
DONE
